score	name	city	state
7.9	 Robert's Pizza & Dough Compa...	 Chicago	 IL
7.4	 Seaside Cafe at the Mansion	 Key West	 FL
7.2	 Da Pizza Dude	 Chicago	 IL
7.6	 Phil's Pizza	 Chicago	 IL
7.5	 Rosangela's Pizza	 Evergreen Park	 IL
8.1	 Lombardo's of Bay Ridge	 Brooklyn	 NY
7.1	 Battle Hill Tavern	 Brooklyn	 NY
8.1	 Giuseppina's	 Brooklyn	 NY
9.3	 Luigi's Pizza	 Brooklyn	 NY
8.2	 Baby Luc’s	 Brooklyn	 NY
6.8	 Spinelli's Pizzeria	 New York	 NY
5.8	 Trattoria Bianca	 New York	 NY
7.4	 Marble Room Steaks and Raw B...	 Cleveland	 OH
7.3	 Pizza 216	 Cleveland	 OH
7.1	 Angelo's Pizza	 Lakewood	 OH
7.5	 Buddy's Pizza - Ann Arbor	 Ann Arbor	 MI
6.9	 Uncle Oogie's	 Sea Isle City	 NJ
6.2	 Pennsylvania 6 NYC	 New York	 NY
7.6	 Phil's  Famous Pizzeria	 Sea Isle City	 NJ
7.1	 Berardi Brothers Pizza	 Sea Isle City	 NJ
6.8	 Poppi's Brick Oven Pizza	 Wildwood	 NJ
7.1	 Preps Pizzeria	 Ocean City	 NJ
7.1	 Steak’em Up	 North Wildwood	 NJ
5.3	 Sorrento II Pizzeria & Resta...	 Wildwood	 NJ
7.6	 Mama Santa's	 Cleveland	 OH
6.7	 Mack's Pizza	 Wildwood	 NJ
7.9	 Sam's Pizza Palace	 North Wildwood	 NJ
8.2	 The Brook Tap House	 West Caldwell	 NJ
7.4	 Max London's Restaurant	 Saratoga Springs	 NY
6.9	 Flatbread Social	 Saratoga Springs	 NY
8.2	 DeFazio's Pizzeria	 Troy	 NY
7.5	 Paesan's Pizza	 Latham	 NY
7.4	 Venezia Pizza & Pasta	 Clifton Park	 NY
7.5	 Napoli's Pizzeria	 Malta	 NY
6.9	 Pizza Time	 Ballston Spa	 NY
7.2	 Showfish	 Montauk	 NY
3.8	 7-Eleven	 Montauk	 NY
6.8	 Sag Pizza	 Sag Harbor	 NY
7.2	 D 'Andrea's Pizza	 Saratoga Springs	 NY
7.3	 West Avenue Pizzeria	 Saratoga Springs	 NY
7.1	 Time Market	 Tucson	 AZ
7.3	 No Anchovies	 Tucson	 AZ
7.7	 Bazzarelli Restaurant	 Moonachie	 NJ
